Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
403006.0208,219537.2421,13137.24816,-2.113575269,70.30320341,156.7973417,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
375780.6891,202789.9797,10384.64849,1.942956349,62.61458333,188.2471892,28,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
430267.3097,232866.6958,11924.43732,5.43313172,62.39908154,197.9807721,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
444379.9422,216318.8056,10958.68056,12.56460648,68.95763889,135.3763503,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
535313.915,228423.5446,13122.53502,17.91901882,74.3156362,192.3388217,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
567787.0368,224322.1742,14824.52091,22.21377315,69.30104167,225.3063657,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
618431.717,220420.176,17001.54049,26.66420251,66.30790771,284.5905765,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
611922.7041,232866.6958,15758.47699,23.04596774,77.16319444,219.8065636,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
555372.5729,216318.8056,13165.2781,20.35770833,84.16527778,153.3049769,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
472783.3915,223980.3934,12035.66544,12.89782706,75.73711918,157.4538157,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
426027.7034,215435.8717,10890.70442,9.760949074,74.10636574,128.5277006,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
415322.2233,220420.176,11242.02577,5.489852151,75.55857975,140.3433766,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
409462.3344,189202.9927,12161.84087,-2.113575269,70.30320341,156.7973417,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
382371.2176,174769.7598,9528.866592,1.942956349,62.61458333,188.2471892,28,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
438912.2623,200690.6679,10929.53539,5.43313172,62.39908154,197.9807721,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
448184.271,186429.2592,10020.35722,12.56460648,68.95763889,135.3763503,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
534026.8907,196861.4429,11876.03701,17.91901882,74.3156362,192.3388217,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
563395.9699,193326.7736,13316.05695,22.21377315,69.30104167,225.3063657,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
604552.1162,189963.9285,15157.64248,26.66420251,66.30790771,284.5905765,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
605417.1562,200690.6679,14134.27419,23.04596774,77.16319444,219.8065636,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
549808.4199,186429.2592,11880.66434,20.35770833,84.16527778,153.3049769,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
475891.4672,193032.2178,10936.45278,12.89782706,75.73711918,157.4538157,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
431311.1655,185668.3234,9956.021116,9.760949074,74.10636574,128.5277006,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
421444.5608,189963.9285,10306.54076,5.489852151,75.55857975,140.3433766,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
401725.4574,173068.5811,13621.72779,-2.113575269,70.30320341,156.7973417,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
375558.365,159866.1517,10274.07309,1.942956349,62.61458333,188.2471892,28,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
431144.2712,183576.6371,11626.89952,5.43313172,62.39908154,197.9807721,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
450570.4323,170531.3795,10612.3625,12.56460648,68.95763889,135.3763503,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
550760.6766,180073.9518,12483.4924,17.91901882,74.3156362,192.3388217,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
591285.7909,176840.7038,13957.79665,22.21377315,69.30104167,225.3063657,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
648342.3525,173764.6275,15967.53616,26.66420251,66.30790771,284.5905765,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
640048.865,183576.6371,14823.87718,23.04596774,77.16319444,219.8065636,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
578504.4687,170531.3795,12475.51382,20.35770833,84.16527778,153.3049769,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
478549.3595,176571.2664,11529.57016,12.89782706,75.73711918,157.4538157,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
428042.0877,169835.3331,10590.03202,9.760949074,74.10636574,128.5277006,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
414913.3112,173764.6275,10965.50715,5.489852151,75.55857975,140.3433766,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
412583.5459,201361.4064,13017.40597,-2.113575269,70.30320341,156.7973417,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
385783.7543,186000.6764,10273.22206,1.942956349,62.61458333,188.2471892,28,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
442649.2251,213587.2935,11817.53503,5.43313172,62.39908154,197.9807721,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
461428.9265,198409.4293,10857.6159,12.56460648,68.95763889,135.3763503,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
561779.0217,209511.9978,12925.31895,17.91901882,74.3156362,192.3388217,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
601879.3598,205750.1864,14532.49615,22.21377315,69.30104167,225.3063657,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
658826.2616,202171.2408,16554.11697,26.66420251,66.30790771,284.5905765,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
651670.4455,213587.2935,15428.60583,23.04596774,77.16319444,219.8065636,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
589439.2053,198409.4293,12943.96794,20.35770833,84.16527778,153.3049769,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
490371.9468,205436.7021,11888.18301,12.89782706,75.73711918,157.4538157,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
439220.3033,197599.5949,10788.74166,9.760949074,74.10636574,128.5277006,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
426351.1508,202171.2408,11135.04437,5.489852151,75.55857975,140.3433766,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
366204.2076,163516.2148,14943.43444,-2.113575269,70.30320341,156.7973417,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
341951.0041,151042.4818,11390.30826,1.942956349,62.61458333,188.2471892,28,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
