Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
436897.2431,193728.6239,12990.63267,37173.22928,12.56460648,68.95763889,135.3763503,30,9.759885125,11.01346341,0.524402353,0.000289916
528663.9162,204569.2645,15410.86067,10404.80983,17.91901882,74.3156362,192.3388217,31,9.759885125,11.01346341,0.524402353,0.000289916
563146.9976,200896.2004,17343.28569,583.5868761,22.21377315,69.30104167,225.3063657,30,9.759885125,11.01346341,0.524402353,0.000289916
613888.1381,197401.688,19933.95418,6.766769557,26.66420251,66.30790771,284.5905765,31,9.759885125,11.01346341,0.524402353,0.000289916
607726.2525,208548.4172,18434.40353,853.0699369,23.04596774,77.16319444,219.8065636,31,9.759885125,11.01346341,0.524402353,0.000289916
551017.8202,193728.6239,15434.52414,5105.137602,20.35770833,84.16527778,153.3049769,30,9.759885125,11.01346341,0.524402353,0.000289916
465014.7115,200590.1117,14179.87068,33938.81165,12.89782706,75.73711918,157.4538157,31,9.759885125,11.01346341,0.524402353,0.000289916
418050.5898,192937.8948,12964.75081,57418.42275,9.760949074,74.10636574,128.5277006,30,9.759885125,11.01346341,0.524402353,0.000289916
406690.7166,197401.688,13437.80867,104305.6223,5.489852151,75.55857975,140.3433766,31,9.759885125,11.01346341,0.524402353,0.000289916
419237.3259,219060.8,13281.65526,276208.1608,-2.113575269,70.30320341,156.7973417,31,10.18954883,12.27102557,0.663856885,0.000322433
391103.546,202349.8827,10278.04021,136511.9101,1.942956349,62.61458333,188.2471892,28,10.18954883,12.27102557,0.663856885,0.000322433
448269.6932,232361.326,11721.93235,86790.69582,5.43313172,62.39908154,197.9807721,31,10.18954883,12.27102557,0.663856885,0.000322433
463042.8778,215849.3482,10793.05319,34288.3277,12.56460648,68.95763889,135.3763503,30,10.18954883,12.27102557,0.663856885,0.000322433
558216.3097,227927.8173,12898.55502,9504.133212,17.91901882,74.3156362,192.3388217,31,10.18954883,12.27102557,0.663856885,0.000322433
593154.9772,223835.3478,14557.68247,506.8620405,22.21377315,69.30104167,225.3063657,30,10.18954883,12.27102557,0.663856885,0.000322433
645562.2226,219941.8177,16633.29178,6.043939903,26.66420251,66.30790771,284.5905765,31,10.18954883,12.27102557,0.663856885,0.000322433
639998.8126,232361.326,15475.92951,745.8998681,23.04596774,77.16319444,219.8065636,31,10.18954883,12.27102557,0.663856885,0.000322433
580089.9987,215849.3482,12949.83994,4577.650069,20.35770833,84.16527778,153.3049769,30,10.18954883,12.27102557,0.663856885,0.000322433
491776.6253,223494.3086,11819.40165,31566.77968,12.89782706,75.73711918,157.4538157,31,10.18954883,12.27102557,0.663856885,0.000322433
443058.7201,214968.3304,10685.39887,53295.38902,9.760949074,74.10636574,128.5277006,30,10.18954883,12.27102557,0.663856885,0.000322433
431849.5034,219941.8177,11052.20945,97264.43442,5.489852151,75.55857975,140.3433766,31,10.18954883,12.27102557,0.663856885,0.000322433
356662.7961,158921.3613,15842.15,321103.0371,-2.113575269,70.30320341,156.7973417,31,9.75249449,8.902222984,0.519042773,0.000246844
332277.1194,146798.1438,12009.96294,165184.7363,1.942956349,62.61458333,188.2471892,28,9.75249449,8.902222984,0.519042773,0.000246844
380390.897,168570.4527,13606.54874,107314.7973,5.43313172,62.39908154,197.9807721,31,9.75249449,8.902222984,0.519042773,0.000246844
396384.6308,156591.5593,12324.61206,42613.24075,12.56460648,68.95763889,135.3763503,30,9.75249449,8.902222984,0.519042773,0.000246844
482362.4182,165354.0889,14373.34991,12354.13978,17.91901882,74.3156362,192.3388217,31,9.75249449,8.902222984,0.519042773,0.000246844
514737.0094,162385.1377,16052.2974,746.5597077,22.21377315,69.30104167,225.3063657,30,9.75249449,8.902222984,0.519042773,0.000246844
562512.4938,159560.5105,18581.38136,9.354116898,26.66420251,66.30790771,284.5905765,31,9.75249449,8.902222984,0.519042773,0.000246844
555198.0109,168570.4527,17022.05699,1067.271919,23.04596774,77.16319444,219.8065636,31,9.75249449,8.902222984,0.519042773,0.000246844
503497.51,156591.5593,14316.82993,6119.034782,20.35770833,84.16527778,153.3049769,30,9.75249449,8.902222984,0.519042773,0.000246844
422585.9749,162137.7251,13382.23528,38551.49597,12.89782706,75.73711918,157.4538157,31,9.75249449,8.902222984,0.519042773,0.000246844
379070.7049,155952.41,12390.80117,64804.12381,9.760949074,74.10636574,128.5277006,30,9.75249449,8.902222984,0.519042773,0.000246844
367649.6563,159560.5105,12841.27451,117009.4851,5.489852151,75.55857975,140.3433766,31,9.75249449,8.902222984,0.519042773,0.000246844
419894.5881,203949.1267,12760.43551,266800.2018,-2.113575269,70.30320341,156.7973417,31,11.58854912,11.42452209,0.687387893,0.000284472
392246.7955,188390.994,9994.504358,132238.032,1.942956349,62.61458333,188.2471892,28,11.58854912,11.42452209,0.687387893,0.000284472
450182.2369,216332.1302,11468.78512,84796.7526,5.43313172,62.39908154,197.9807721,31,11.58854912,11.42452209,0.687387893,0.000284472
464470.2718,200959.2134,10551.98144,34067.17739,12.56460648,68.95763889,135.3763503,30,11.58854912,11.42452209,0.687387893,0.000284472
559260.3213,212204.4624,12561.09328,9558.447949,17.91901882,74.3156362,192.3388217,31,11.58854912,11.42452209,0.687387893,0.000284472
595072.909,208394.3074,14117.99404,531.74227,22.21377315,69.30104167,225.3063657,30,11.58854912,11.42452209,0.687387893,0.000284472
645657.3074,204769.3684,16067.99748,7.484760948,26.66420251,66.30790771,284.5905765,31,11.58854912,11.42452209,0.687387893,0.000284472
642083.2648,216332.1302,14997.37949,787.8422384,23.04596774,77.16319444,219.8065636,31,11.58854912,11.42452209,0.687387893,0.000284472
581786.0008,200959.2134,12583.53859,4676.896772,20.35770833,84.16527778,153.3049769,30,11.58854912,11.42452209,0.687387893,0.000284472
493180.1083,208076.7945,11534.63662,31350.57323,12.89782706,75.73711918,157.4538157,31,11.58854912,11.42452209,0.687387893,0.000284472
444373.1314,200138.9718,10452.41577,52783.89444,9.760949074,74.10636574,128.5277006,30,11.58854912,11.42452209,0.687387893,0.000284472
432852.0172,204769.3684,10813.61305,95486.45608,5.489852151,75.55857975,140.3433766,31,11.58854912,11.42452209,0.687387893,0.000284472
424354.94,206436.5018,16203.44672,257786.4,-2.113575269,70.30320341,156.7973417,31,11.4638062,11.56385621,0.535704155,0.000264652
396179.1354,190688.6213,12803.49626,128100.4731,1.942956349,62.61458333,188.2471892,28,11.4638062,11.56385621,0.535704155,0.000264652
454840.504,218970.5291,14723.76472,82494.34187,5.43313172,62.39908154,197.9807721,31,11.4638062,11.56385621,0.535704155,0.000264652
469626.777,203410.1234,13562.48349,33273.29505,12.56460648,68.95763889,135.3763503,30,11.4638062,11.56385621,0.535704155,0.000264652
566308.517,214792.52,16168.29239,9298.356086,17.91901882,74.3156362,192.3388217,31,11.4638062,11.56385621,0.535704155,0.000264652
602719.2215,210935.8962,18168.72464,517.0656314,22.21377315,69.30104167,225.3063657,30,11.4638062,11.56385621,0.535704155,0.000264652
653882.5408,207266.7472,20663.17148,6.891071728,26.66420251,66.30790771,284.5905765,31,11.4638062,11.56385621,0.535704155,0.000264652
650441.2012,218970.5291,19297.03032,762.9622065,23.04596774,77.16319444,219.8065636,31,11.4638062,11.56385621,0.535704155,0.000264652
589112.9491,203410.1234,16196.90149,4558.053882,20.35770833,84.16527778,153.3049769,30,11.4638062,11.56385621,0.535704155,0.000264652
499432.7124,210614.5109,14853.37246,30679.74426,12.89782706,75.73711918,157.4538157,31,11.4638062,11.56385621,0.535704155,0.000264652
449508.2162,202579.878,13450.78111,51766.25276,9.760949074,74.10636574,128.5277006,30,11.4638062,11.56385621,0.535704155,0.000264652
437510.9971,207266.7472,13875.59607,93106.53393,5.489852151,75.55857975,140.3433766,31,11.4638062,11.56385621,0.535704155,0.000264652
371332.596,172015.7395,14935.72416,320864.1602,-2.113575269,70.30320341,156.7973417,31,9.966139032,9.635724597,0.571694346,0.000307575
345971.7804,158893.6255,11311.60139,164378.6006,1.942956349,62.61458333,188.2471892,28,9.966139032,9.635724597,0.571694346,0.000307575
396012.3321,182459.8711,12658.76535,104895.4736,5.43313172,62.39908154,197.9807721,31,9.966139032,9.635724597,0.571694346,0.000307575
411656.2901,169493.9727,11496.28395,41700.60483,12.56460648,68.95763889,135.3763503,30,9.966139032,9.635724597,0.571694346,0.000307575
499350.1231,178978.4939,13459.18969,11999.64873,17.91901882,74.3156362,192.3388217,31,9.966139032,9.635724597,0.571694346,0.000307575
532380.8995,175764.9149,15094.32658,720.2698091,22.21377315,69.30104167,225.3063657,30,9.966139032,9.635724597,0.571694346,0.000307575
581571.8379,172707.5516,17454.95794,9.332546338,26.66420251,66.30790771,284.5905765,31,9.966139032,9.635724597,0.571694346,0.000307575
574165.3485,182459.8711,16026.9129,1010.182521,23.04596774,77.16319444,219.8065636,31,9.966139032,9.635724597,0.571694346,0.000307575
520881.3455,169493.9727,13453.03388,5900.008565,20.35770833,84.16527778,153.3049769,30,9.966139032,9.635724597,0.571694346,0.000307575
438334.6373,175497.1167,12484.11019,37843.86097,12.89782706,75.73711918,157.4538157,31,9.966139032,9.635724597,0.571694346,0.000307575
393567.7292,168802.1606,11529.56022,63723.69555,9.760949074,74.10636574,128.5277006,30,9.966139032,9.635724597,0.571694346,0.000307575
382414.3836,172707.5516,11936.89852,114914.9198,5.489852151,75.55857975,140.3433766,31,9.966139032,9.635724597,0.571694346,0.000307575
399870.4567,190269.2908,13407.59327,293386.2918,-2.113575269,70.30320341,156.7973417,31,10.98436085,10.65822517,0.65700316,0.000304719
373105.2629,175754.7159,10214.12977,145881.9228,1.942956349,62.61458333,188.2471892,28,10.98436085,10.65822517,0.65700316,0.000304719
427740.2009,201821.7075,11601.15712,93305.14884,5.43313172,62.39908154,197.9807721,31,10.98436085,10.65822517,0.65700316,0.000304719
442665.4237,187479.9252,10600.68074,37361.44486,12.56460648,68.95763889,135.3763503,30,10.98436085,10.65822517,0.65700316,0.000304719
534612.7895,197970.9019,12547.20347,10568.70591,17.91901882,74.3156362,192.3388217,31,10.98436085,10.65822517,0.65700316,0.000304719
569022.283,194416.3122,14083.17356,598.507406,22.21377315,69.30104167,225.3063657,30,10.98436085,10.65822517,0.65700316,0.000304719
619480.7131,191034.515,16144.2074,8.134579647,26.66420251,66.30790771,284.5905765,31,10.98436085,10.65822517,0.65700316,0.000304719
614017.6015,201821.7075,14964.99134,876.0333272,23.04596774,77.16319444,219.8065636,31,10.98436085,10.65822517,0.65700316,0.000304719
556359.0288,187479.9252,12558.98791,5210.243992,20.35770833,84.16527778,153.3049769,30,10.98436085,10.65822517,0.65700316,0.000304719
470448.3414,194120.0964,11553.98134,34132.44912,12.89782706,75.73711918,157.4538157,31,10.98436085,10.65822517,0.65700316,0.000304719
423249.4291,186714.701,10558.07383,57494.98911,9.760949074,74.10636574,128.5277006,30,10.98436085,10.65822517,0.65700316,0.000304719
412062.6532,191034.515,10944.2913,103890.6091,5.489852151,75.55857975,140.3433766,31,10.98436085,10.65822517,0.65700316,0.000304719
442767.3558,215140.0466,12690.96758,237415.51,-2.113575269,70.30320341,156.7973417,31,12.60135152,12.05139858,0.694212778,0.00025335
414220.0634,198728.2215,10263.77237,118352.9528,1.942956349,62.61458333,188.2471892,28,12.60135152,12.05139858,0.694212778,0.00025335
475881.3512,228202.5195,11833.67452,76185.98766,5.43313172,62.39908154,197.9807721,31,12.60135152,12.05139858,0.694212778,0.00025335
490044.1324,211986.0734,10972.60289,31046.72655,12.56460648,68.95763889,135.3763503,30,12.60135152,12.05139858,0.694212778,0.00025335
589496.2115,223848.3619,13104.22269,8659.66897,17.91901882,74.3156362,192.3388217,31,12.60135152,12.05139858,0.694212778,0.00025335
625969.5055,219829.1394,14700.14763,472.736644,22.21377315,69.30104167,225.3063657,30,12.60135152,12.05139858,0.694212778,0.00025335
677677.5812,216005.2958,16585.19688,6.555192412,26.66420251,66.30790771,284.5905765,31,12.60135152,12.05139858,0.694212778,0.00025335
675569.9443,228202.5195,15583.29996,711.3228358,23.04596774,77.16319444,219.8065636,31,12.60135152,12.05139858,0.694212778,0.00025335
611241.9412,211986.0734,13120.97145,4204.433412,20.35770833,84.16527778,153.3049769,30,12.60135152,12.05139858,0.694212778,0.00025335
519932.0586,219494.2042,12021.13991,28727.87068,12.89782706,75.73711918,157.4538157,31,12.60135152,12.05139858,0.694212778,0.00025335
468740.9654,211120.8241,10816.34562,48286.19802,9.760949074,74.10636574,128.5277006,30,12.60135152,12.05139858,0.694212778,0.00025335
456789.0629,216005.2958,11150.64269,86986.1447,5.489852151,75.55857975,140.3433766,31,12.60135152,12.05139858,0.694212778,0.00025335
412336.0239,188401.5631,16613.9794,294831.9389,-2.113575269,70.30320341,156.7973417,31,11.93918194,10.55360155,0.550501296,0.000354144
384415.3816,174029.4667,12475.34427,145184.2877,1.942956349,62.61458333,188.2471892,28,11.93918194,10.55360155,0.550501296,0.000354144
441098.1545,199840.5786,14112.31403,92963.15329,5.43313172,62.39908154,197.9807721,31,11.93918194,10.55360155,0.550501296,0.000354144
455925.5525,185639.5786,12912.31224,37815.86693,12.56460648,68.95763889,135.3763503,30,11.93918194,10.55360155,0.550501296,0.000354144
550457.0363,196027.5734,15269.35584,10823.40362,17.91901882,74.3156362,192.3388217,31,11.93918194,10.55360155,0.550501296,0.000354144
585719.0517,192507.8763,17137.71564,638.4749558,22.21377315,69.30104167,225.3063657,30,11.93918194,10.55360155,0.550501296,0.000354144
