Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
345920.6018,1.942956349,62.61458333,188.2471892,28,8.971365203,10.21569157,0.504766552
395668.5464,5.43313172,62.39908154,197.9807721,31,8.971365203,10.21569157,0.504766552
411684.4342,12.56460648,68.95763889,135.3763503,30,8.971365203,10.21569157,0.504766552
499467.3404,17.91901882,74.3156362,192.3388217,31,8.971365203,10.21569157,0.504766552
532628.8779,22.21377315,69.30104167,225.3063657,30,8.971365203,10.21569157,0.504766552
582328.9625,26.66420251,66.30790771,284.5905765,31,8.971365203,10.21569157,0.504766552
574484.724,23.04596774,77.16319444,219.8065636,31,8.971365203,10.21569157,0.504766552
521279.2121,20.35770833,84.16527778,153.3049769,30,8.971365203,10.21569157,0.504766552
438613.5517,12.89782706,75.73711918,157.4538157,31,8.971365203,10.21569157,0.504766552
393960.1311,9.760949074,74.10636574,128.5277006,30,8.971365203,10.21569157,0.504766552
382663.3746,5.489852151,75.55857975,140.3433766,31,8.971365203,10.21569157,0.504766552
409674.7248,-2.113575269,70.30320341,156.7973417,31,9.407944606,12.14190561,0.563545294
381864.9274,1.942956349,62.61458333,188.2471892,28,9.407944606,12.14190561,0.563545294
437461.6674,5.43313172,62.39908154,197.9807721,31,9.407944606,12.14190561,0.563545294
452780.8346,12.56460648,68.95763889,135.3763503,30,9.407944606,12.14190561,0.563545294
546625.1764,17.91901882,74.3156362,192.3388217,31,9.407944606,12.14190561,0.563545294
581457.0504,22.21377315,69.30104167,225.3063657,30,9.407944606,12.14190561,0.563545294
633551.1295,26.66420251,66.30790771,284.5905765,31,9.407944606,12.14190561,0.563545294
627526.8348,23.04596774,77.16319444,219.8065636,31,9.407944606,12.14190561,0.563545294
568876.2042,20.35770833,84.16527778,153.3049769,30,9.407944606,12.14190561,0.563545294
481548.499,12.89782706,75.73711918,157.4538157,31,9.407944606,12.14190561,0.563545294
433363.8878,9.760949074,74.10636574,128.5277006,30,9.407944606,12.14190561,0.563545294
422071.8061,5.489852151,75.55857975,140.3433766,31,9.407944606,12.14190561,0.563545294
442247.613,-2.113575269,70.30320341,156.7973417,31,11.2813668,12.7477635,0.585692824
412870.7566,1.942956349,62.61458333,188.2471892,28,11.2813668,12.7477635,0.585692824
473922.6153,5.43313172,62.39908154,197.9807721,31,11.2813668,12.7477635,0.585692824
488419.3932,12.56460648,68.95763889,135.3763503,30,11.2813668,12.7477635,0.585692824
587952.9854,17.91901882,74.3156362,192.3388217,31,11.2813668,12.7477635,0.585692824
624414.4317,22.21377315,69.30104167,225.3063657,30,11.2813668,12.7477635,0.585692824
678769.8539,26.66420251,66.30790771,284.5905765,31,11.2813668,12.7477635,0.585692824
674274.5227,23.04596774,77.16319444,219.8065636,31,11.2813668,12.7477635,0.585692824
610109.8179,20.35770833,84.16527778,153.3049769,30,11.2813668,12.7477635,0.585692824
518781.4858,12.89782706,75.73711918,157.4538157,31,11.2813668,12.7477635,0.585692824
467618.9501,9.760949074,74.10636574,128.5277006,30,11.2813668,12.7477635,0.585692824
455698.3116,5.489852151,75.55857975,140.3433766,31,11.2813668,12.7477635,0.585692824
402171.7391,-2.113575269,70.30320341,156.7973417,31,11.02637611,10.58093543,0.529986246
374939.773,1.942956349,62.61458333,188.2471892,28,11.02637611,10.58093543,0.529986246
429904.3122,5.43313172,62.39908154,197.9807721,31,11.02637611,10.58093543,0.529986246
445253.3725,12.56460648,68.95763889,135.3763503,30,11.02637611,10.58093543,0.529986246
538526.9582,17.91901882,74.3156362,192.3388217,31,11.02637611,10.58093543,0.529986246
573206.4679,22.21377315,69.30104167,225.3063657,30,11.02637611,10.58093543,0.529986246
624314.4921,26.66420251,66.30790771,284.5905765,31,11.02637611,10.58093543,0.529986246
618593.9467,23.04596774,77.16319444,219.8065636,31,11.02637611,10.58093543,0.529986246
560642.1554,20.35770833,84.16527778,153.3049769,30,11.02637611,10.58093543,0.529986246
473715.7549,12.89782706,75.73711918,157.4538157,31,11.02637611,10.58093543,0.529986246
425773.477,9.760949074,74.10636574,128.5277006,30,11.02637611,10.58093543,0.529986246
414180.7476,5.489852151,75.55857975,140.3433766,31,11.02637611,10.58093543,0.529986246
405054.5569,-2.113575269,70.30320341,156.7973417,31,12.81624624,9.708950846,0.636255893
378292.8593,1.942956349,62.61458333,188.2471892,28,12.81624624,9.708950846,0.636255893
434423.5979,5.43313172,62.39908154,197.9807721,31,12.81624624,9.708950846,0.636255893
448907.1591,12.56460648,68.95763889,135.3763503,30,12.81624624,9.708950846,0.636255893
542292.4051,17.91901882,74.3156362,192.3388217,31,12.81624624,9.708950846,0.636255893
577168.2847,22.21377315,69.30104167,225.3063657,30,12.81624624,9.708950846,0.636255893
625864.6691,26.66420251,66.30790771,284.5905765,31,12.81624624,9.708950846,0.636255893
622535.9789,23.04596774,77.16319444,219.8065636,31,12.81624624,9.708950846,0.636255893
563974.5287,20.35770833,84.16527778,153.3049769,30,12.81624624,9.708950846,0.636255893
476855.0926,12.89782706,75.73711918,157.4538157,31,12.81624624,9.708950846,0.636255893
429001.545,9.760949074,74.10636574,128.5277006,30,12.81624624,9.708950846,0.636255893
