,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,,,,,,
lengthscale__2,5.397396941,0.792232543,0.041673258,3.961807266,6.902264547,274.2077763,0.998172987,,,,,,
lengthscale__3,5.178467425,0.522746392,0.022730159,4.309196699,6.269858695,351.6219761,1.000611675,,,,,,
lengthscale__4,5.753679889,0.43862635,0.01943156,5.038502887,6.721454785,568.4610329,1.001317378,,,,,,
lengthscale__5,4.578883901,0.340933494,0.014507355,3.922500165,5.22923145,635.3404276,1.001466147,,,,,,
lengthscale__6,26.7021602,3.242333626,0.116530779,21.52961809,33.51387632,629.9161516,1.002172465,,,,,,
lengthscale__7,22.60533867,2.683574002,0.113343135,17.92021322,28.42126155,521.678034,0.998739317,,,,,,
lengthscale__8,6.052069202,0.375205377,0.014695099,5.391870677,6.789677921,547.6194844,0.998324295,,,,,,
lengthscale__9,4.989399242,0.355765439,0.016338952,4.371789475,5.768085139,191.477249,1.013712278,,,,,,
tf__0,0.485392685,0.000717844,2.53E-05,0.483958637,0.486809303,1008.769655,0.998768137,,,,,,
tf__1,0.502273424,0.000489127,1.96E-05,0.501283627,0.503112204,568.474949,0.998029629,,,,,,
tf__2,0.532774445,0.02447366,0.000893158,0.485841133,0.578412742,638.1046321,0.998745695,,,,,,
tf__3,0.517459421,0.086345812,0.003572259,0.352076354,0.682772933,665.6105016,0.999170414,,,,,,
tf__4,0.492707449,0.005018851,0.000170613,0.482492731,0.502171221,963.9972357,0.998470902,,,,,,
tf__5,0.501130303,0.021910543,0.00091951,0.457119756,0.540528742,662.2254566,0.999338629,,,,,,
sigma1,0.002571807,0.002107393,0.000153436,0.000472523,0.006124876,78.325213,1.003174491,,,,,,
colcholpacked__0,1.181769426,0.690242452,0.057625436,0.082953894,2.537394234,44.4386224,1.001086092,,,,,,
colcholpacked__1,0.43625603,0.303020016,0.022407775,0.002987829,1.016710242,61.11910551,1.000685731,,,,,,
colcholpacked__2,2.688625176,1.567950473,0.13144085,0.284891107,5.722490021,43.90833754,1.000417071,,,,,,
colcholpacked__3,0.221268722,0.183922581,0.012562664,-0.011762892,0.581244764,67.52196954,1.001566832,,,,,,
colcholpacked__4,0.147901298,0.130342439,0.008684355,-0.047365001,0.425152205,119.5829731,0.999321216,,,,,,
colcholpacked__5,1.752783569,1.025971792,0.085607261,0.191810913,3.77032169,44.39066922,1.001245803,,,,,,
colcholpacked__6,-0.012512785,0.109912925,0.00472067,-0.217569695,0.253556322,446.6446454,0.998150111,,,,,,
colcholpacked__7,0.016125351,0.099749352,0.00419584,-0.162125025,0.234252347,414.5656492,0.998245391,,,,,,
colcholpacked__8,-0.121348284,0.1312115,0.008058531,-0.407840569,0.089917625,153.0796041,1.002384206,,,,,,
colcholpacked__9,1.819515913,1.068623018,0.089114038,0.222157752,3.917794796,45.52305638,1.002490421,,,,,,
