Electricity:Facility,InteriorEquipment:Electricity,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
375098.4412,179326.4434,337825.7661,-2.113575269,70.30320341,156.7973417,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
348718.419,165646.6369,172561.3648,1.942956349,62.61458333,188.2471892,28,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
398916.3726,190214.4527,110015.1066,5.43313172,62.39908154,197.9807721,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
410573.3742,176697.501,43622.40643,12.56460648,68.95763889,135.3763503,30,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
492583.7764,186585.1163,12507.36792,17.91901882,74.3156362,192.3388217,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
521249.1314,183234.9596,728.0048034,22.21377315,69.30104167,225.3063657,30,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
564421.9856,180047.6577,8.931825253,26.66420251,66.30790771,284.5905765,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
560071.492,190214.4527,1029.592944,23.04596774,77.16319444,219.8065636,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
509359.9751,176697.501,6116.685273,20.35770833,84.16527778,153.3049769,30,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
437402.5895,182955.7798,39559.11624,12.89782706,75.73711918,157.4538157,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
394991.0491,175976.2867,66752.95842,9.760949074,74.10636574,128.5277006,30,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
385046.8664,180047.6577,120528.3318,5.489852151,75.55857975,140.3433766,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
403798.1385,213074.7746,249819.54,-2.113575269,70.30320341,156.7973417,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
376530.4319,196820.4976,124990.4156,1.942956349,62.61458333,188.2471892,28,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
431267.9281,226011.8522,79634.49617,5.43313172,62.39908154,197.9807721,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
443905.6207,209951.0785,31087.57443,12.56460648,68.95763889,135.3763503,30,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
532550.8825,221699.493,8613.820994,17.91901882,74.3156362,192.3388217,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
564160.4976,217718.8538,457.1814516,22.21377315,69.30104167,225.3063657,30,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
611420.9074,213931.7178,4.863422328,26.66420251,66.30790771,284.5905765,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
607552.0586,226011.8522,683.4123957,23.04596774,77.16319444,219.8065636,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
551535.8353,209951.0785,4173.190685,20.35770833,84.16527778,153.3049769,30,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
471735.2289,217387.1338,28643.10629,12.89782706,75.73711918,157.4538157,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
426034.749,209094.1353,48313.70087,9.760949074,74.10636574,128.5277006,30,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
415829.6532,213931.7178,88784.26665,5.489852151,75.55857975,140.3433766,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
429879.7145,222809.3561,302026.1875,-2.113575269,70.30320341,156.7973417,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
