Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
407924.0612,-2.113575269,70.30320341,156.7973417,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
380291.236,1.942956349,62.61458333,188.2471892,28,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
436024.7128,5.43313172,62.39908154,197.9807721,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
447754.5242,12.56460648,68.95763889,135.3763503,30,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
536272.4792,17.91901882,74.3156362,192.3388217,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
567302.9765,22.21377315,69.30104167,225.3063657,30,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
613480.0866,26.66420251,66.30790771,284.5905765,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
611218.3948,23.04596774,77.16319444,219.8065636,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
554762.0906,20.35770833,84.16527778,153.3049769,30,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
476155.4531,12.89782706,75.73711918,157.4538157,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
430193.5165,9.760949074,74.10636574,128.5277006,30,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
419878.0073,5.489852151,75.55857975,140.3433766,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
365943.4258,-2.113575269,70.30320341,156.7973417,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
341215.5071,1.942956349,62.61458333,188.2471892,28,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
390614.3498,5.43313172,62.39908154,197.9807721,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
407524.773,12.56460648,68.95763889,135.3763503,30,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
