Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
415685.9854,219420.7325,13102.56702,287437.3712,-2.113575269,70.30320341,156.7973417,31,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
387770.6608,202682.358,9959.905331,141343.1696,1.942956349,62.61458333,188.2471892,28,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
444252.2049,232743.1122,11321.84439,89637.0286,5.43313172,62.39908154,197.9807721,31,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
462392.7369,216204.0041,10410.91402,35313.95615,12.56460648,68.95763889,135.3763503,30,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
561610.0878,228302.319,12443.92464,9783.418128,17.91901882,74.3156362,192.3388217,31,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
600688.2772,224203.1253,14051.56929,532.1756455,22.21377315,69.30104167,225.3063657,30,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
658630.4234,220303.1979,16088.36716,6.492604325,26.66420251,66.30790771,284.5905765,31,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
649603.3051,232743.1122,14948.48802,764.1013182,23.04596774,77.16319444,219.8065636,31,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
587810.1321,216204.0041,12493.4182,4690.942822,20.35770833,84.16527778,153.3049769,30,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
491106.1772,223861.5258,11392.85081,32444.58471,12.89782706,75.73711918,157.4538157,31,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
440611.9374,215321.5388,10320.50184,54777.57707,9.760949074,74.10636574,128.5277006,30,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
428566.6076,220303.1979,10672.16659,100014.7261,5.489852151,75.55857975,140.3433766,31,9.867627447,12.29118775,0.681819911,0.000350905,4.939264195
407924.0612,203042.7031,14526.90586,274852.3897,-2.113575269,70.30320341,156.7973417,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
380291.236,187553.7164,11346.1606,137086.0193,1.942956349,62.61458333,188.2471892,28,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
436024.7128,215370.6721,13006.08832,87715.79737,5.43313172,62.39908154,197.9807721,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
447754.5242,200066.0781,11934.06704,34858.4344,12.56460648,68.95763889,135.3763503,30,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
536272.4792,211261.3491,14207.73925,9759.073695,17.91901882,74.3156362,192.3388217,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
567302.9765,207468.1278,15997.98014,527.4324619,22.21377315,69.30104167,225.3063657,30,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
613480.0866,203859.2993,18289.31719,6.579861603,26.66420251,66.30790771,284.5905765,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
611218.3948,215370.6721,16999.05615,788.4645493,23.04596774,77.16319444,219.8065636,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
554762.0906,200066.0781,14236.97464,4769.541119,20.35770833,84.16527778,153.3049769,30,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
476155.4531,207152.0261,13065.44291,32119.79979,12.89782706,75.73711918,157.4538157,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
430193.5165,199249.4818,11853.06498,54023.92699,9.760949074,74.10636574,128.5277006,30,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
419878.0073,203859.2993,12268.95771,98236.14838,5.489852151,75.55857975,140.3433766,31,10.48626145,11.37374739,0.588862274,0.000273097,6.145522707
365943.4258,155129.9156,16876.95811,332752.1398,-2.113575269,70.30320341,156.7973417,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
341215.5071,143295.9262,12851.17349,174101.5948,1.942956349,62.61458333,188.2471892,28,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
390614.3498,164548.8052,14054.1049,109806.8978,5.43313172,62.39908154,197.9807721,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
407524.773,152855.6966,12758.01732,44561.56704,12.56460648,68.95763889,135.3763503,30,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
496697.3601,161409.1753,14813.66625,13107.40451,17.91901882,74.3156362,192.3388217,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
531240.9269,158511.0555,16532.26582,835.130502,22.21377315,69.30104167,225.3063657,30,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
581405.3303,155753.8164,19136.29218,10.97004581,26.66420251,66.30790771,284.5905765,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
573798.7978,164548.8052,17545.33941,1148.483042,23.04596774,77.16319444,219.8065636,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
519873.0604,152855.6966,14767.93711,6433.019182,20.35770833,84.16527778,153.3049769,30,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
434134.7291,158269.5455,13792.8685,40177.10664,12.89782706,75.73711918,157.4538157,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
388682.6546,152231.7958,12786.08502,67335.69212,9.760949074,74.10636574,128.5277006,30,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
376884.8499,155753.8164,13293.51983,120527.7047,5.489852151,75.55857975,140.3433766,31,10.78406577,8.689839361,0.512575428,0.000330534,5.282826425
352464.2982,163308.5212,12387.98837,325537.8149,-2.113575269,70.30320341,156.7973417,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
328465.1531,150850.6319,9387.599171,167864.7615,1.942956349,62.61458333,188.2471892,28,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
375809.6871,173223.9841,10625.09789,108838.3254,5.43313172,62.39908154,197.9807721,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
389530.838,160914.403,9625.477352,42589.80392,12.56460648,68.95763889,135.3763503,30,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
471015.3201,169918.8298,11240.15599,12259.94265,17.91901882,74.3156362,192.3388217,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
500647.1515,166867.9181,12573.17173,727.5955643,22.21377315,69.30104167,225.3063657,30,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
545291.5608,163965.3147,14572.82979,8.698267738,26.66420251,66.30790771,284.5905765,31,9.311464896,9.147976452,0.661123424,0.000251494,5.889049414
