Electricity:Facility,InteriorLights:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
506080.7254,127318.972,15431.09224,35577.03136,12.89782706,75.73711918,157.4538157,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
455234.3775,121821.439,13896.1689,60000.96315,9.760949074,74.10636574,128.5277006,30,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
443178.7118,123913.4205,14313.70502,108848.7513,5.489852151,75.55857975,140.3433766,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
403006.0208,102188.2233,13137.24816,324681.8999,-2.113575269,70.30320341,156.7973417,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
375780.6891,96623.92019,10384.64849,163605.8998,1.942956349,62.61458333,188.2471892,28,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
430267.3097,114494.6747,11924.43732,104033.0149,5.43313172,62.39908154,197.9807721,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
444379.9422,102959.915,10958.68056,40280.54802,12.56460648,68.95763889,135.3763503,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
535313.915,110392.5242,13122.53502,11099.97363,17.91901882,74.3156362,192.3388217,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
567787.0368,109905.14,14824.52091,560.0001967,22.21377315,69.30104167,225.3063657,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
618431.717,103447.2992,17001.54049,4.918790386,26.66420251,66.30790771,284.5905765,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
611922.7041,114494.6747,15758.47699,850.2269174,23.04596774,77.16319444,219.8065636,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
555372.5729,102959.915,13165.2781,5332.270299,20.35770833,84.16527778,153.3049769,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
472783.3915,106290.3737,12035.66544,37268.87863,12.89782706,75.73711918,157.4538157,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
426027.7034,101700.8391,10890.70442,62926.13583,9.760949074,74.10636574,128.5277006,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
415322.2233,103447.2992,11242.02577,116021.7942,5.489852151,75.55857975,140.3433766,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
409462.3344,139957.7098,12161.84087,233979.9398,-2.113575269,70.30320341,156.7973417,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
382371.2176,132336.8012,9528.866592,116510.3489,1.942956349,62.61458333,188.2471892,28,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
438912.2623,156812.7123,10929.53539,74901.60779,5.43313172,62.39908154,197.9807721,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
448184.271,141014.6242,10020.35722,30233.52433,12.56460648,68.95763889,135.3763503,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
534026.8907,151194.3781,11876.03701,8569.78556,17.91901882,74.3156362,192.3388217,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
563395.9699,150526.8533,13316.05695,500.3025102,22.21377315,69.30104167,225.3063657,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
604552.1162,141682.149,15157.64248,7.362578145,26.66420251,66.30790771,284.5905765,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
605417.1562,156812.7123,14134.27419,726.1028181,23.04596774,77.16319444,219.8065636,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
549808.4199,141014.6242,11880.66434,4254.197929,20.35770833,84.16527778,153.3049769,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
475891.4672,145576.044,10936.45278,27764.67173,12.89782706,75.73711918,157.4538157,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
431311.1655,139290.185,9956.021116,46721.50576,9.760949074,74.10636574,128.5277006,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
421444.5608,141682.149,10306.54076,84194.84822,5.489852151,75.55857975,140.3433766,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
401725.4574,146846.939,13621.72779,253260.6888,-2.113575269,70.30320341,156.7973417,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
375558.365,138850.9014,10274.07309,125600.3349,1.942956349,62.61458333,188.2471892,28,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
431144.2712,164531.6062,11626.89952,80560.46005,5.43313172,62.39908154,197.9807721,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
450570.4323,147955.8785,10612.3625,32974.77565,12.56460648,68.95763889,135.3763503,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
550760.6766,158636.7171,12483.4924,9530.784917,17.91901882,74.3156362,192.3388217,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
591285.7909,157936.3343,13957.79665,593.0403898,22.21377315,69.30104167,225.3063657,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
648342.3525,148656.2614,15967.53616,8.090267476,26.66420251,66.30790771,284.5905765,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
640048.865,164531.6062,14823.87718,822.148998,23.04596774,77.16319444,219.8065636,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
578504.4687,147955.8785,12475.51382,4732.427352,20.35770833,84.16527778,153.3049769,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
478549.3595,152741.8281,11529.57016,30058.07096,12.89782706,75.73711918,157.4538157,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
428042.0877,146146.5562,10590.03202,50567.70507,9.760949074,74.10636574,128.5277006,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
414913.3112,148656.2614,10965.50715,89938.87101,5.489852151,75.55857975,140.3433766,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
412583.5459,130075.8758,13017.40597,323980.2693,-2.113575269,70.30320341,156.7973417,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
385783.7543,122993.0479,10273.22206,161466.6514,1.942956349,62.61458333,188.2471892,28,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
442649.2251,145740.8163,11817.53503,103612.1586,5.43313172,62.39908154,197.9807721,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
461428.9265,131058.1658,10857.6159,41378.21253,12.56460648,68.95763889,135.3763503,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
561779.0217,140519.1695,12925.31895,11576.49186,17.91901882,74.3156362,192.3388217,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
601879.3598,139898.7758,14532.49615,619.6976979,22.21377315,69.30104167,225.3063657,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
658826.2616,131678.5595,16554.11697,8.044383632,26.66420251,66.30790771,284.5905765,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
651670.4455,145740.8163,15428.60583,944.1000674,23.04596774,77.16319444,219.8065636,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
589439.2053,131058.1658,12943.96794,5692.131308,20.35770833,84.16527778,153.3049769,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
490371.9468,135297.5226,11888.18301,38186.72603,12.89782706,75.73711918,157.4538157,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
439220.3033,129455.4821,10788.74166,64330.79522,9.760949074,74.10636574,128.5277006,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
