Electricity:Facility,InteriorLights:Electricity,InteriorEquipment:Electricity,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
448184.271,141014.6242,186429.2592,12.56460648,68.95763889,135.3763503,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
534026.8907,151194.3781,196861.4429,17.91901882,74.3156362,192.3388217,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
563395.9699,150526.8533,193326.7736,22.21377315,69.30104167,225.3063657,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
604552.1162,141682.149,189963.9285,26.66420251,66.30790771,284.5905765,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
605417.1562,156812.7123,200690.6679,23.04596774,77.16319444,219.8065636,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
549808.4199,141014.6242,186429.2592,20.35770833,84.16527778,153.3049769,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
475891.4672,145576.044,193032.2178,12.89782706,75.73711918,157.4538157,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
431311.1655,139290.185,185668.3234,9.760949074,74.10636574,128.5277006,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
421444.5608,141682.149,189963.9285,5.489852151,75.55857975,140.3433766,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
401725.4574,146846.939,173068.5811,-2.113575269,70.30320341,156.7973417,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
375558.365,138850.9014,159866.1517,1.942956349,62.61458333,188.2471892,28,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
431144.2712,164531.6062,183576.6371,5.43313172,62.39908154,197.9807721,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
450570.4323,147955.8785,170531.3795,12.56460648,68.95763889,135.3763503,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
550760.6766,158636.7171,180073.9518,17.91901882,74.3156362,192.3388217,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
591285.7909,157936.3343,176840.7038,22.21377315,69.30104167,225.3063657,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
648342.3525,148656.2614,173764.6275,26.66420251,66.30790771,284.5905765,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
640048.865,164531.6062,183576.6371,23.04596774,77.16319444,219.8065636,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
578504.4687,147955.8785,170531.3795,20.35770833,84.16527778,153.3049769,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
478549.3595,152741.8281,176571.2664,12.89782706,75.73711918,157.4538157,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
428042.0877,146146.5562,169835.3331,9.760949074,74.10636574,128.5277006,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
414913.3112,148656.2614,173764.6275,5.489852151,75.55857975,140.3433766,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
412583.5459,130075.8758,201361.4064,-2.113575269,70.30320341,156.7973417,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
385783.7543,122993.0479,186000.6764,1.942956349,62.61458333,188.2471892,28,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
442649.2251,145740.8163,213587.2935,5.43313172,62.39908154,197.9807721,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
